agent_id;date;product_id;lang_id;calls_handled;avg_aht;std_pass
10;13/7/2020;1;2;29;754,75;1
6;15/7/2020;2;2;18;432,03;1
10;4/7/2020;1;2;32;1.325,75;0
4;23/7/2020;2;2;13;545,04;1
2;20/7/2020;3;2;6;86,19;0
9;7/7/2020;3;1;39;266,03;1
3;17/1/2020;1;1;12;1.765,72;0
7;7/7/2020;1;1;28;1.728,45;0
2;16/7/2020;2;2;6;598,08;0
4;11/7/2020;2;2;10;75,46;0
9;10/7/2020;3;1;37;180,99;1
2;3/7/2020;1;2;1;639,28;0
6;10/7/2020;3;2;21;57,40;1
2;6/7/2020;1;2;1;407,28;0
4;6/7/2020;3;2;15;456,10;1
6;1/7/2020;3;2;19;367,84;1
6;20/7/2020;1;2;17;1.067,58;1
3;12/1/2020;2;1;13;720,83;1
8;4/7/2020;2;2;27;389,52;1
1;11/7/2020;2;1;7;959,50;0
9;14/7/2020;1;1;35;1.537,68;0
2;19/7/2020;2;2;3;55,92;0
9;9/7/2020;2;1;36;808,17;1
5;5/7/2020;3;1;25;187,39;1
2;2/7/2020;3;2;5;136,86;0
6;21/7/2020;2;2;17;81,36;1
6;24/7/2020;2;2;17;41,36;1
2;21/7/2020;1;2;1;560,28;0
9;22/7/2020;3;1;37;74,01;1
9;25/7/2020;3;1;39;105,03;1
10;23/7/2020;2;2;32;101,02;1
7;5/7/2020;2;1;27;302,21;1
10;14/7/2020;2;2;34;202,02;1
3;14/1/2020;1;1;12;1.208,72;0
3;23/1/2020;1;1;13;1.935,38;0
10;16/7/2020;1;2;31;1.386,75;0
7;4/7/2020;1;1;25;1.371,16;0
6;4/7/2020;3;2;21;185,60;1
9;24/7/2020;2;1;34;513,61;1
1;5/7/2020;2;1;7;907,50;0
4;12/7/2020;3;2;12;87,10;1
9;17/7/2020;1;1;33;1.470,57;0
6;3/7/2020;2;2;20;127,36;1
4;15/7/2020;3;2;12;228,10;1
8;23/7/2020;3;2;26;155,21;1
7;3/7/2020;3;1;31;24,15;1
6;16/7/2020;3;2;19;101,84;1
3;13/1/2020;3;1;18;189,43;1
8;16/7/2020;2;2;24;124,77;1
5;14/7/2020;3;1;23;104,72;1
8;12/7/2020;1;2;24;967,43;1
3;8/1/2020;1;1;14;1.902,05;0
4;8/7/2020;2;2;10;33,46;0
7;12/7/2020;3;1;29;107,23;1
6;19/7/2020;3;2;19;382,84;1
7;23/7/2020;2;1;28;497,93;1
4;13/7/2020;1;2;10;817,86;0
8;11/7/2020;3;2;27;190,95;1
1;7/7/2020;1;1;5;1.987,15;0
4;4/7/2020;1;2;8;396,86;0
5;18/7/2020;1;1;20;1.326,03;0
5;15/7/2020;1;1;19;1.718,03;0
3;4/1/2020;3;1;18;807,43;1
3;26/1/2020;1;1;14;1.921,05;0
8;5/7/2020;3;2;28;441,88;1
2;27/7/2020;1;2;3;219,73;0
6;7/7/2020;3;2;20;142,38;1
6;2/7/2020;1;2;18;747,91;1
8;9/7/2020;1;2;24;1.365,43;0
8;3/7/2020;1;2;25;842,93;1
6;5/7/2020;1;2;17;1.122,58;1
10;6/7/2020;3;2;36;426,44;1
1;9/7/2020;3;1;10;874,95;0
4;18/7/2020;3;2;15;199,10;1
10;2/7/2020;2;2;34;185,02;1
3;18/1/2020;2;1;16;792,83;1
7;21/7/2020;3;1;29;102,77;1
5;16/7/2020;2;1;21;279,30;1
8;20/7/2020;3;2;29;378,71;1
6;22/7/2020;3;2;22;205,18;1
1;17/7/2020;2;1;7;1.150,50;0
3;16/1/2020;3;1;17;321,87;1
5;3/7/2020;1;1;18;1.473,03;0
9;13/7/2020;3;1;38;149,51;1
2;25/7/2020;2;2;4;180,08;0
2;23/7/2020;3;2;7;49,48;0
8;24/7/2020;1;2;22;1.140,43;1
4;10/7/2020;1;2;9;705,86;0
4;25/7/2020;1;2;11;671,86;1
6;23/7/2020;1;2;16;604,24;1
7;22/7/2020;1;1;28;1.291,45;0
8;17/7/2020;3;2;29;56,29;1
8;10/7/2020;2;2;27;405,52;1
9;5/7/2020;1;1;32;1.549,02;0
3;10/1/2020;3;1;18;217,43;1
6;6/7/2020;2;2;17;294,36;1
4;9/7/2020;3;2;14;18,43;1
7;14/7/2020;2;1;27;634,21;1
10;1/7/2020;1;2;29;953,75;1
4;19/7/2020;1;2;10;448,86;0
9;26/7/2020;1;1;35;1.810,68;0
1;27/7/2020;3;1;9;1.119,28;0
10;21/7/2020;3;2;34;164,11;1
3;25/1/2020;3;1;18;614,43;1
3;7/1/2020;3;1;18;766,43;1
5;25/7/2020;2;1;22;289,30;1
6;26/7/2020;1;2;17;884,58;1
3;19/1/2020;3;1;18;703,43;1
8;2/7/2020;3;2;28;402,88;1
4;17/7/2020;2;2;13;158,04;1
2;11/7/2020;3;2;6;341,19;0
3;21/1/2020;2;1;13;727,83;1
8;1/7/2020;2;2;25;606,02;1
7;15/7/2020;3;1;29;491,23;1
7;25/7/2020;1;1;28;1.453,45;0
1;20/7/2020;2;1;9;1.986,50;0
1;6/7/2020;3;1;8;821,62;0
9;2/7/2020;1;1;33;1.292,57;0
10;5/7/2020;2;2;32;701,02;1
2;5/7/2020;3;2;7;186,48;0
7;17/7/2020;2;1;30;656,36;1
2;14/7/2020;3;2;5;199,14;0
